Business,Address,Google Maps,Yelp (unrated = 0),Street,Ward,ZIP Code
Hobby Lobby,"5555 E Broadway Blvd Suite 131, Tucson, AZ 85711",4.5,3.1,E Broadway Blvd,6,85711
Nicos,"5660 E Broadway Blvd, Tucson, AZ 85711",4.4,4,E Broadway Blvd,6,85711
Wilmot Nails,"245 S Wilmot Rd, Tucson, AZ 85711",4.4,3.6,S Wilmot Rd,6,85711
Autozone Auto Parts,"6307 E 22nd St, Tucson, AZ 85710",4.4,3.4,E 22nd Street,6,85710
Mariscos Baja Mar,"6211 E 22nd St, Tucson, AZ 85711",4.4,4.4,E 22nd Street,6,85711
Rainbow Service & Repair,"6062 E 22nd St, Tucson, AZ 85711",4.8,0,E 22nd Street,6,85711
Taqueria y Raspados Jason,"6039 E 22nd St, Tucson, AZ 85711",4.4,4.3,E 22nd Street,6,85711
Nique's Beauty Salon,"5941 E 22nd St, Tucson, AZ 85711",5,5,E 22nd Street,6,85711
Bobbie's Joe's Rug Works,"5755 E 22nd St, Tucson, AZ 85711",4.6,4.7,E 22nd Street,6,85711
Car Guru,"4373 E 22nd St, Tucson, AZ 85711",4.8,0,E 22nd Street,6,85711
Red Wing,"3829 E Broadway Blvd, Tucson, AZ 85716",4.5,4.4,E Broadway Blvd,6,85716
Portillo's Tucson,"3761 E Broadway Blvd, Tucson, AZ 85716",4.4,4.1,E Broadway Blvd,6,85716
Audi Tucson,"4646 E 22nd St, Tucson, AZ 85711",4.4,4.1,E 22nd Street,6,85711
Starbucks,"4702 E Grant Rd, Tucson, AZ 85712",4.2,2.9,E Grant Rd,6,85712
